"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000287190.1|ENSG00000287190",107.656149802555,-23.2880798478975,4.23094174006384,-5.50423080218215,3.70783539981505e-08,0.00011484514537009
"ENSG00000107593.17|PKD2L1",290.15894667145,-16.7975250480509,2.91036752996916,-5.77161642819348,7.85146801213471e-09,3.34384208301802e-05
"ENSG00000176239.7|OR51B6",16.2671822188503,17.1591991470577,4.22509076368828,4.06126166437159,4.88082293207321e-05,0.0426396200304272
"ENSG00000248424.1|OR51K1P",34.1065797042227,15.51890230902,3.72289000111049,4.16850949246175,3.06597994590796e-05,0.0303386724194141
"ENSG00000229427.1|ANKRD26P4",10.2123789496862,-5.11030438231848,1.22702996792461,-4.16477552782351,3.1165904572202e-05,0.0303386724194141
"ENSG00000258844.2|ENSG00000258844",20.7619660739395,-18.1543547781132,3.29818549942572,-5.50434618710022,3.70540802132255e-08,0.00011484514537009
"ENSG00000205918.10|PDPK2P",32.6917616729784,-21.2263856487599,3.44983620602915,-6.15286766706873,7.60942973650548e-10,5.18521761104956e-06
"ENSG00000291074.1|CCDC144NL",461.627588557432,-18.8689103610493,3.83108188970421,-4.92521718519207,8.4266706784793e-07,0.00159502831492482
"ENSG00000266369.1|ENSG00000266369",56.7800336530594,-17.9219293983099,4.24662915264143,-4.22027183305195,2.44007911378872e-05,0.0267650533504979
"ENSG00000265118.5|ENSG00000265118",6.47866457313025,-20.2237080614713,4.23356900216019,-4.7769879388176,1.77940442210408e-06,0.0026359168724134
"ENSG00000289024.1|ENSG00000289024",17.0207881323415,-17.5911514886165,4.25211289530716,-4.13703773200165,3.51818274455334e-05,0.0332966678582435
"ENSG00000252680.1|RNA5SP449",16.8611695891449,-15.3367631979912,3.61525345723499,-4.2422373367208,2.21302476137154e-05,0.0251333222148966
"ENSG00000187664.9|HAPLN4",26.1811249993522,-21.3903615064389,4.23196228882235,-5.05447828846115,4.31568847670762e-07,0.00086494012994062
"ENSG00000269793.7|ZIM2-AS1",27.5099638889911,-20.4271854340625,3.00318057439611,-6.80185054745504,1.03283718312868e-11,1.17299318887924e-07
"ENSG00000272563.1|ENSG00000272563",16.7167927812267,4.98473201369695,1.23398036627393,4.0395553688983,5.35526251739169e-05,0.0456147873075131
